#Position (bp)	mapping quality
8637500.5	0.0
8662500.5	0.0
8687500.5	0.0
8712500.5	0.0
8737500.5	0.0
8762500.5	0.0
8787500.5	0.0
8812500.5	0.0
8837500.5	60.0
8862500.5	0.0
8887500.5	0.0
8912500.5	0.0
8937500.5	0.36750998668442075
8962500.5	0.2844275894761792
8987500.5	60.0
9012500.5	0.0
9037500.5	0.0
9062500.5	0.0
9087500.5	0.0
9112500.5	1.4021862042970223
9137500.5	0.0
9162500.5	0.0
9187500.5	0.0
9212500.5	0.0
9237500.5	0.0
9262500.5	0.0
9287500.5	0.0
9312500.5	0.0
9337500.5	0.0
9362500.5	0.0
9387500.5	0.0
9412500.5	0.0
9437500.5	0.0
9462500.5	0.0
9487500.5	0.0
9512500.5	0.0
9537500.5	1.1635423400129283
9562500.5	0.0
9587500.5	0.0
9612500.5	0.0
9637500.5	0.0
9662500.5	0.0
9687500.5	0.0
9712500.5	0.0
9737500.5	0.0
9762500.5	0.0
9787500.5	0.0
9812500.5	0.0
9837500.5	0.0
9862500.5	0.0
9887500.5	0.0
9912500.5	0.0
9937500.5	0.0
9962500.5	0.0
9987500.5	0.0
